id,predicted_shares
32340,3018.4636134099505
10480,2517.791307278158
15370,5945.798163904963
31592,2557.562208708
198,2251.4599439648696
37834,2428.563945852409
624,2362.4934268099055
22135,3935.526580512198
29798,1673.0042211129507
32896,1843.3388908964387
2300,2190.844452411197
30178,5903.865225251817
2645,6623.412487575672
23144,8351.255097961191
1395,3223.323734431205
8445,2544.5821327234285
3530,16435.52259780199
8059,2028.870885062343
20432,1647.987008683211
15825,3302.4074489844356
34274,5229.911434603554
26753,6294.265311980879
853,2563.1824685868937
29269,4219.716686488153
28852,2701.3023757942988
9918,2456.5191199629603
11011,2996.606622333934
1673,2250.358345459564
13059,1363.4434795662578
8191,1663.7626582592147
32807,4117.174594036475
37209,1493.7221821797286
32692,3725.1292423680607
29901,2927.9915832493098
9845,3306.974494468186
4504,3329.038929255564
29044,1860.5941783975438
6056,3560.681616966688
32776,4050.0352714642586
962,3501.3020062229916
926,2052.520470715091
31879,6726.644515194066
9778,3915.777042576002
27329,1381.9356556231212
30713,3645.6447371070244
14737,2395.086059424676
1962,9602.407381170784
16303,2621.7994103183682
16046,2911.70332002165
37588,2022.1653284716772
1291,2195.2222839918745
37362,5803.044035048848
12804,3503.96669441447
34125,2744.484372187668
32790,1407.3606403666263
25228,1514.6752712984062
12994,3094.1288724091714
5853,2088.893321813015
7369,2784.802691077404
32962,6031.306922473365
2585,2859.2370374300244
31649,2450.4788448162694
29109,1433.746920692385
27576,9756.354940630901
25786,3552.7572834067205
4775,4283.769883408298
38396,5565.689109611815
19620,5146.486925670284
34946,1616.2798299141796
26109,4849.596254526228
6340,2883.7649276717375
33476,1931.8647237387072
33044,2875.9211109447833
3418,3512.3395178144146
21513,3302.885679571297
24549,2353.2323487794283
37323,3990.589338916711
22261,5635.88384071751
5001,4289.189951349518
23873,3425.058459899507
31775,7819.729283902977
7481,4067.611613363809
29272,2587.68428314235
28443,1376.6561675266573
2265,1992.2963713249908
39257,2420.668569864182
28565,2367.0971012531304
19234,1407.345050304465
19452,2320.487519200656
35647,2098.2444445240258
1895,1730.8858749076246
33248,2369.175246297136
19832,6329.462149966716
14100,2984.232875928994
2055,2859.8472145575574
9040,2100.600896370048
24949,2822.97045898238
19682,2981.350101705948
6747,2210.6920490964217
36344,1606.8744044433781
14045,3378.6265435089936
37319,1339.1879228564662
34942,5009.584943229926
13438,2202.709242758912
30088,4388.486876124518
29702,1733.4391617471958
23796,2406.2609979723643
10339,2300.630314734402
39092,4340.784056693632
23819,2836.181228748433
18435,3406.2899866279627
34495,1659.2765702355068
36082,6266.471532253456
29900,3054.6870675311925
8897,2494.270434731144
35932,2402.109758537015
6689,2104.8850356698317
22702,4050.8585605283456
13583,2101.2216145070765
39559,1348.7961344793637
27891,1431.147985456402
25320,5528.669165987326
32261,1391.4189682986012
38909,1339.5395442735173
2296,2530.2074534323997
9992,2039.742371244674
23788,9881.72418676966
2825,3951.491007154932
22667,1468.5776355196542
18665,3292.116306365117
21342,2673.5331216665804
10026,5949.129749745691
21752,1953.9163948551527
36630,4428.55591633057
1457,2311.9216480699665
14673,3025.9581980562198
16909,2087.6527577247703
38665,13199.726192329908
15171,2996.7106304052677
10861,3110.14108471135
6735,2639.716627832509
5525,2452.937910315906
35637,3605.7367077567696
33813,1384.3958584111513
14660,2816.484122122129
1566,3612.9311103019586
7237,3984.7769360383163
26295,1961.4428273165167
4040,3182.290849465242
21024,3675.457186492225
19855,4278.303438428931
32268,4234.658741363416
24598,2620.194965830979
19812,3659.860427082571
18106,4463.368953467063
8124,1830.6332668348557
16817,4731.82067843961
30904,4625.3163711441775
1697,2591.5054528722667
27893,2997.235624921128
34141,2059.28310511295
31444,2428.7501030076382
740,8911.61877851084
27694,2713.8095560429038
36826,1379.2751817673595
29399,1463.1147913398997
36820,3134.7427422196224
33074,1588.0156124690611
7090,5062.466244566787
19780,3595.351677258902
14867,2610.252727345326
27217,3711.596619568701
8844,3531.1310611092504
15789,2370.7302052671726
13326,4260.29016138315
27623,11076.53633849396
11206,2572.6463669155173
21720,3643.3509686985185
23277,2136.2504207837965
29279,3956.1698953587857
29581,4740.6921193702865
29814,1592.0522962651514
38378,3167.2187410795623
30584,2160.791395110665
14474,4541.501380123809
22816,1720.9618184026167
17979,2144.9598535789664
33617,7150.223411208917
14948,2467.166194141362
3979,3477.5971020288534
31427,3072.622599911834
1796,2765.426843560712
6319,3815.462438341143
23263,1901.2064676449922
38630,2332.507215989905
24447,2286.763887133108
31785,2665.513245613919
25134,2879.463312303755
550,2502.991704335239
1736,1678.744380271604
35574,4403.425524557661
2935,2592.2088018684503
5715,2864.839641539655
21273,3180.4746779972
24205,5190.149711491297
9382,2916.4155543624615
21595,3483.0772250054924
5504,22498.672698961054
